date,recommendations,features_day,minute_price,filter_predictions
2023-01-02,False,True,True,True
2023-01-03,False,True,True,True
2023-01-04,False,True,True,True
2023-01-05,False,True,True,True
2023-01-06,False,True,True,True
2023-01-09,False,True,True,True
2023-01-10,False,True,True,True
2023-01-11,False,True,True,True
2023-01-12,False,True,True,True
2023-01-13,False,True,True,False
2023-01-16,False,True,True,False
2023-01-17,False,True,True,False
2023-01-18,False,True,True,False
2023-01-19,False,True,True,False
2023-01-20,False,True,True,False
2023-01-23,False,True,True,False
2023-01-24,False,True,True,False
2023-01-25,False,True,True,False
2023-01-26,False,True,True,False
2023-01-27,False,True,True,False
2023-01-30,False,True,True,False
2023-01-31,False,True,True,False
2023-02-01,False,True,True,False
2023-02-02,False,True,True,False
2023-02-03,False,True,True,False
2023-02-06,False,True,True,False
2023-02-07,False,True,True,False
2023-02-08,False,True,True,False
2023-02-09,False,True,True,False
2023-02-10,False,True,True,False
2023-02-13,False,True,True,False
2023-02-14,False,True,True,False
2023-02-15,False,True,True,False
2023-02-16,False,True,True,False
2023-02-17,False,True,True,False
2023-02-20,False,True,True,False
2023-02-21,False,True,True,False
2023-02-22,False,True,True,False
2023-02-23,False,True,True,False
2023-02-24,False,True,True,False
2023-02-27,False,True,True,False
2023-02-28,False,True,True,False
2023-03-01,False,True,True,False
2023-03-02,False,True,True,False
2023-03-03,False,True,True,False
2023-03-06,False,True,True,False
2023-03-07,False,True,True,False
2023-03-08,False,True,True,False
2023-03-09,False,True,True,False
2023-03-10,False,True,True,False
2023-03-13,False,True,True,False
2023-03-14,False,True,True,False
2023-03-15,False,True,True,False
2023-03-16,False,True,True,False
2023-03-17,False,True,True,False
2023-03-20,False,True,True,False
2023-03-21,False,True,True,False
2023-03-22,False,True,True,False
2023-03-23,False,True,True,False
2023-03-24,False,True,True,False
2023-03-27,False,True,True,False
2023-03-28,False,True,True,False
2023-03-29,False,True,True,False
2023-03-30,False,True,True,False
2023-03-31,False,True,True,False
2023-04-03,False,True,True,False
2023-04-04,False,True,True,False
2023-04-05,False,True,True,False
2023-04-06,False,True,True,False
2023-04-07,False,True,True,False
2023-04-10,False,True,True,False
2023-04-11,False,True,True,False
2023-04-12,False,True,True,False
2023-04-13,False,True,True,False
2023-04-14,False,True,True,False
2023-04-17,False,True,True,False
2023-04-18,False,True,True,False
2023-04-19,False,True,True,False
2023-04-20,False,True,True,False
2023-04-21,False,True,True,False
2023-04-24,False,True,True,False
2023-04-25,False,True,True,False
2023-04-26,False,True,True,False
2023-04-27,False,True,True,False
2023-04-28,False,True,True,False
2023-05-01,False,True,True,False
2023-05-02,False,True,True,False
2023-05-03,False,True,True,False
2023-05-04,False,True,True,False
2023-05-05,False,True,True,False
2023-05-08,False,True,True,False
2023-05-09,False,True,True,False
2023-05-10,False,True,True,False
2023-05-11,False,True,True,False
2023-05-12,False,True,True,False
2023-05-15,False,True,True,False
2023-05-16,False,True,True,False
2023-05-17,False,True,True,False
2023-05-18,False,True,True,False
2023-05-19,False,True,True,False
2023-05-22,False,True,True,False
2023-05-23,False,True,True,False
2023-05-24,False,True,True,False
2023-05-25,False,True,True,False
2023-05-26,False,True,True,False
2023-05-29,False,True,True,False
2023-05-30,False,True,True,False
2023-05-31,False,True,True,False
2023-06-01,False,True,True,False
2023-06-02,False,True,True,False
2023-06-05,False,True,True,False
2023-06-06,False,True,True,False
2023-06-07,False,True,True,False
2023-06-08,False,True,True,False
2023-06-09,False,True,True,False
2023-06-12,False,True,True,False
2023-06-13,False,True,True,False
2023-06-14,False,True,True,False
2023-06-15,False,True,True,False
2023-06-16,False,True,True,False
2023-06-19,False,True,True,False
2023-06-20,False,True,True,False
2023-06-21,False,True,True,False
2023-06-22,False,True,True,False
2023-06-23,False,True,True,False
2023-06-26,False,True,True,False
2023-06-27,False,True,True,False
2023-06-28,False,True,True,False
2023-06-29,False,True,True,False
2023-06-30,False,True,True,False
